name,ra,dec
Crater,"[164.94366000000002, 167.91453, 167.91453, 171.22053, 171.22053, 176.190735, 176.190735, 179.003985, 179.003985, 176.190735, 176.190735, 171.22053, 171.22053, 169.835205, 169.835205, 171.15246, 171.15246, 174.17047499999998, 174.17047499999998, 171.15246, 171.15246, 169.835205, 169.835205, 164.94366000000002]","[-18.298783, -22.825847, -22.825847, -17.68401, -17.68401, -18.350674, -18.350674, -17.150829, -17.150829, -18.350674, -18.350674, -17.68401, -17.68401, -14.778541, -14.778541, -10.859323, -10.859323, -9.802247, -9.802247, -10.859323, -10.859323, -14.778541, -14.778541, -18.298783]"
Crux,"[186.649665, 187.791435, 191.930385, 183.786405, 191.930385, 183.786405]","[-63.099092, -57.113212, -59.688764, -58.748928, -59.688764, -58.748928]"
Corvus,"[187.466085, 183.95155499999998, 183.95155499999998, 182.53119, 182.53119, 188.596815, 188.596815, 187.466085, 182.53119, 182.103375]","[-16.515432, -17.541929, -17.541929, -22.619766, -22.619766, -23.396759, -23.396759, -16.515432, -22.619766, -24.728875]"
Cygnus,"[310.35798, 305.557095, 305.557095, 311.55267000000003, 311.55267000000003, 305.557095, 305.557095, 292.680345, 292.680345, 305.557095, 305.557095, 296.24361, 296.24361, 292.42647, 292.42647, 289.2756, 289.2756, 292.42647, 292.42647, 303.86800500000004, 303.86800500000004, 310.35798, 310.35798, 314.293395, 314.293395, 318.234105, 318.234105, 311.55267000000003]","[45.280338, 40.256679, 40.256679, 33.970256, 33.970256, 40.256679, 40.256679, 27.959681, 27.959681, 40.256679, 40.256679, 45.13081, 45.13081, 51.729779, 51.729779, 53.368459, 53.368459, 51.729779, 51.729779, 47.714208, 47.714208, 45.280338, 45.280338, 41.167136, 41.167136, 30.226916, 30.226916, 33.970256]"
Delphinus,"[308.303205, 309.38724, 309.38724, 309.909525, 309.909525, 311.6646, 311.6646, 310.864725, 310.864725, 309.38724]","[11.303263, 14.595087, 14.595087, 15.912072, 15.912072, 16.124296, 16.124296, 15.074581, 15.074581, 14.595087]"
Dorado,"[64.00645499999999, 68.49897, 68.49897, 76.377795, 76.377795, 83.40631499999999, 83.40631499999999, 68.49897, 68.49897, 83.40631499999999, 83.40631499999999, 86.193345, 86.193345, 88.52487, 88.52487, 83.40631499999999]","[-51.486648, -55.044975, -55.044975, -57.472704, -57.472704, -62.489825, -62.489825, -55.044975, -55.044975, -62.489825, -62.489825, -65.735526, -65.735526, -63.089627, -63.089627, -62.489825]"
Draco,"[172.85110500000002, 188.37087000000002, 188.37087000000002, 211.097475, 211.097475, 231.23241000000002, 231.23241000000002, 240.47297999999998, 240.47297999999998, 245.99790000000002, 245.99790000000002, 257.19671999999997, 257.19671999999997, 275.189325, 275.189325, 275.26104000000004, 275.26104000000004, 275.189325, 275.189325, 288.138375, 288.138375, 297.04275, 297.04275, 288.138375, 288.138375, 268.38201, 268.38201, 263.066505, 263.066505, 262.608195, 262.608195, 269.151555, 269.151555, 268.38201, 268.38201, 288.138375]","[69.331076, 69.788238, 69.788238, 64.37585, 64.37585, 58.966065, 58.966065, 58.565251, 58.565251, 61.514213, 61.514213, 65.714683, 65.714683, 71.337814, 71.337814, 72.732843, 72.732843, 71.337814, 71.337814, 67.661541, 67.661541, 70.26793, 70.26793, 67.661541, 67.661541, 56.872643, 56.872643, 55.172958, 55.172958, 52.301387, 52.301387, 51.488895, 51.488895, 56.872643, 56.872643, 67.661541]"
Equuleus,"[318.955965, 318.62005500000004, 318.62005500000004, 317.58541499999995]","[5.247845, 10.006981, 10.006981, 10.131579]"
Eridanus,"[76.962435, 71.375625, 71.375625, 69.079755, 69.079755, 62.966415, 62.966415, 59.507355, 59.507355, 56.535555, 56.535555, 55.81209, 55.81209, 53.23272, 53.23272, 44.10687, 44.10687, 41.030625, 41.030625, 41.030625, 41.030625, 41.275725, 41.275725, 45.597945, 45.597945, 49.87917, 49.87917, 53.446979999999996, 53.446979999999996, 56.712059999999994, 56.712059999999994, 58.427925, 58.427925, 59.981175, 59.981175, 68.37734999999999, 68.37734999999999, 68.88768, 68.88768, 66.009195, 66.009195, 64.473555, 64.473555, 57.363555000000005, 57.363555000000005, 57.363555000000005, 57.363555000000005, 54.27366, 54.27366, 49.97916, 49.97916, 44.565345, 44.565345, 40.166714999999996, 40.166714999999996, 39.94989, 39.94989, 36.746325, 36.746325, 28.98846, 28.98846, 24.42834]","[-5.086446, -3.254657, -3.254657, -3.352459, -3.352459, -6.837581, -6.837581, -13.508515, -13.508515, -12.101589, -12.101589, -9.763395, -9.763395, -9.458262, -9.458262, -8.898144, -8.898144, -13.858696, -13.858696, -13.858696, -13.858696, -18.572563, -18.572563, -23.624472, -23.624472, -21.757864, -21.757864, -21.632883, -21.632883, -23.249723, -23.249723, -24.61223, -24.61223, -24.016215, -24.016215, -29.766492, -29.766492, -30.562341, -30.562341, -34.016846, -34.016846, -33.798348, -33.798348, -36.20025, -36.20025, -36.20025, -36.20025, -40.274545, -40.274545, -43.069784, -43.069784, -40.304672, -40.304672, -39.855375, -39.855375, -42.89167, -42.89167, -47.70384, -47.70384, -51.608896, -51.608896, -57.236757]"
Fornax,"[48.018735, 42.272535000000005, 42.272535000000005, 31.122660000000003]","[-28.987618, -32.405898, -32.405898, -29.296819]"
