name,ra,dec
He Who Pours Out the Water,"[311.934315, 311.91897, 311.91897, 313.163475, 313.163475, 322.88973, 322.88973, 331.445985, 331.445985, 335.41407000000004, 335.41407000000004, 337.207965, 337.207965, 336.31926, 338.83908, 337.207965, 335.41407000000004, 343.15364999999997, 343.15364999999997, 349.21225499999997, 349.21225499999997, 349.47589500000004, 349.47589500000004, 358.21053, 358.21053, 358.12497, 358.12497, 350.74263, 350.74263, 343.662555, 343.662555, 342.39792, 342.39792, 331.60929, 331.60929, 322.88973, 335.41407000000004, 335.049645, 335.049645, 331.60929, 357.838905, 356.50383, 356.50383, 355.440855]","[-5.027701, -9.495776, -9.495776, -8.983318, -8.983318, -5.571172, -5.571172, -0.319851, -0.319851, -1.387331, -1.387331, -0.019972, -0.019972, 1.377401, -0.117498, -0.019972, -1.387331, -7.579599, -7.579599, -7.726504, -7.726504, -9.182513, -9.182513, -8.996756, -8.996756, -14.251217, -14.251217, -20.10058, -20.10058, -15.82082, -15.82082, -13.592632, -13.592632, -13.869679, -13.869679, -5.571172, -1.387331, -7.821102, -7.821102, -13.869679, -18.909163, -18.67834, -18.67834, -17.816533]"
The Whale,"[33.249975, 37.039755, 37.039755, 41.235585, 41.235585, 44.92875, 44.92875, 45.56988, 45.56988, 40.82517, 40.82517, 38.968635, 38.968635, 37.039755, 40.82517, 39.87066, 39.87066, 34.24602, 34.24602, 27.86514, 27.86514, 36.487514999999995, 36.487514999999995, 39.890969999999996, 39.890969999999996, 41.030625, 41.030625, 38.02179, 38.02179, 36.487514999999995, 27.86514, 21.00585, 21.00585, 17.147460000000002, 17.147460000000002, 26.017185, 26.017185, 27.86514, 28.21713, 26.017185, 17.147460000000002, 10.89735, 10.89735, 4.856985]","[8.846717, 8.460054, 8.460054, 10.114146, 10.114146, 8.907365, 8.907365, 4.089734, 4.089734, 3.235818, 3.235818, 5.593246, 5.593246, 8.460054, 3.235818, 0.328511, 0.328511, -6.422116, -6.422116, -10.335038, -10.335038, -12.29048, -12.29048, -11.872156, -11.872156, -13.858696, -13.858696, -15.244677, -15.244677, -12.29048, -10.335038, -8.183257, -8.183257, -10.182264, -10.182264, -15.93748, -15.93748, -10.335038, -16.92925, -15.93748, -10.182264, -17.986605, -17.986605, -8.823921]"
The Little Plough,"[81.282765, 83.001675, 83.001675, 84.05338499999999, 84.05338499999999, 85.189695, 85.189695, 86.939115, 86.939115, 78.63447, 78.63447, 83.001675]","[6.349702, -0.299092, -0.299092, -1.20192, -1.20192, -1.942572, -1.942572, -9.669605, -9.669605, -8.20164, -8.20164, -0.299092]"
The Sickle,"[83.84652, 83.84542499999999, 83.84542499999999, 83.76116999999999, 83.76116999999999, 82.982745, 82.982745, 80.986785, 80.986785, 79.40163]","[-4.838358, -5.41606, -5.41606, -6.002027, -6.002027, -7.301537, -7.301537, -7.808065, -7.808065, -6.844409]"
The Great Auger,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675, 78.63447, 84.05338499999999]","[-1.942572, -1.20192, -1.20192, -0.299092, -8.20164, -1.20192]"
The Bull,"[68.98015500000001, 67.165575, 67.165575, 64.948335, 64.948335, 65.73370499999999, 65.73370499999999, 67.154145, 67.154145, 68.3877, 68.3877, 68.98015500000001]","[16.509301, 15.870883, 15.870883, 15.627642, 15.627642, 17.542514, 17.542514, 19.180431, 19.180431, 18.016722, 18.016722, 16.509301]"
The Man,"[244.935165, 248.52575999999996, 248.52575999999996, 250.72399499999997, 250.72399499999997, 258.76182, 258.76182, 259.417755, 259.417755, 260.92062000000004, 260.92062000000004, 269.06325000000004, 269.06325000000004, 264.86620500000004, 250.72399499999997, 250.32169500000003, 250.32169500000003, 255.07240499999997, 255.07240499999997, 258.76182, 250.32169500000003, 247.55502, 247.55502, 245.48007, 255.07240499999997, 262.68462, 262.68462, 266.614785, 266.614785, 269.44116, 269.44116, 271.88562, 271.88562, 271.956255, 271.956255, 271.16754000000003]","[46.313366, 42.437041, 42.437041, 38.922254, 38.922254, 36.809162, 36.809162, 37.291498, 37.291498, 37.145946, 37.145946, 37.250539, 37.250539, 46.006332, 38.922254, 31.602726, 31.602726, 30.926405, 30.926405, 36.809162, 31.602726, 21.489613, 21.489613, 19.15313, 30.926405, 26.110645, 26.110645, 27.720676, 27.720676, 29.24788, 29.24788, 28.762488, 28.762488, 26.09734, 26.09734, 23.941999]"
The Serpent,"[240.57371999999998, 237.81629999999998, 237.81629999999998, 235.38773999999998, 235.38773999999998, 237.184905, 237.184905, 239.11323000000002, 239.11323000000002, 236.546895, 236.546895, 237.184905, 237.184905, 237.81629999999998, 236.546895, 233.700615, 233.700615, 236.06697, 236.06697, 237.704025, 237.704025, 243.58641000000003, 243.58641000000003, 244.58036999999996, 244.58036999999996, 249.28974000000002, 249.28974000000002, 257.59452, 257.59452, 262.85397, 262.85397, 264.396675, 264.396675, 269.75662500000004, 269.75662500000004, 275.32750500000003, 275.32750500000003, 284.05492499999997, 284.05492499999997, 271.83744, 271.83744, 263.733615, 263.733615, 254.417085, 254.417085, 247.72843500000002, 247.72843500000002, 243.58641000000003, 263.733615, 265.868145, 265.868145, 261.628665, 265.868145, 266.973165, 266.973165, 270.16130999999996, 270.16130999999996, 270.43833, 270.43833, 271.363695, 270.06582, 270.16130999999996]","[22.804454, 20.977919, 20.977919, 19.670401, 19.670401, 18.141564, 18.141564, 15.661617, 15.661617, 15.421826, 15.421826, 18.141564, 18.141564, 20.977919, 15.421826, 10.538867, 10.538867, 6.425627, 6.425627, 4.47773, 4.47773, -3.694323, -3.694323, -4.692511, -4.692511, -10.56709, -10.56709, -15.72491, -15.72491, -23.962643, -23.962643, -15.398557, -15.398557, -9.773632, -9.773632, -2.898825, -2.898825, 4.203595, 4.203595, 9.563847, 9.563847, 12.560035, 12.560035, 9.375033, 9.375033, 1.983923, 1.983923, -3.694323, 12.560035, 4.567303, 4.567303, 4.14036, 4.567303, 2.707276, 2.707276, 2.931568, 2.931568, 1.305076, 1.305076, 2.500099, 4.368615, 2.931568]"
The Scorpion,"[229.45767, 234.25605, 234.25605, 234.66405, 234.66405, 239.22115499999998, 239.22115499999998, 239.712975, 239.712975, 240.08335499999998, 240.08335499999998, 241.35930000000002, 240.08335499999998, 247.35191999999998, 247.35191999999998, 248.97064500000002, 248.97064500000002, 252.54119999999998, 252.54119999999998, 252.96763500000003]","[-30.148673, -28.135079, -28.135079, -29.777754, -29.777754, -29.214073, -29.214073, -26.114105, -26.114105, -22.62171, -22.62171, -19.805453, -22.62171, -26.432002, -26.432002, -28.216016, -28.216016, -34.293232, -34.293232, -38.04738]"
The Axe,"[58.533, 59.741249999999994, 59.741249999999994, 59.46345, 59.46345, 56.07972, 56.07972, 58.533, 59.46345, 51.08067, 51.08067, 46.19913, 46.19913, 42.674175, 42.674175, 43.564425, 43.564425, 41.04951, 41.04951, 47.265075, 47.265075, 51.08067, 51.08067, 47.37387, 47.37387, 47.04222, 47.04222, 46.29405, 42.645945, 47.04222]","[31.883635, 35.791033, 35.791033, 40.010215, 40.010215, 32.288248, 32.288248, 31.883635, 40.010215, 49.86118, 49.86118, 53.50644, 53.50644, 55.895496, 55.895496, 52.762479, 52.762479, 49.228448, 49.228448, 49.613278, 49.613278, 49.86118, 49.86118, 44.857544, 44.857544, 40.955648, 40.955648, 38.840274, 38.318644, 40.955648]"
The Archer,"[281.4141, 276.04302, 276.04302, 275.24850000000004, 275.24850000000004, 276.992685, 276.992685, 281.4141, 281.4141, 283.81635, 276.992685, 281.585865, 281.585865, 284.432505, 284.432505, 286.17075, 286.17075, 287.440965, 287.440965, 289.40866500000004, 289.40866500000004, 290.418165]","[-26.990778, -34.384616, -34.384616, -29.828103, -29.828103, -25.4217, -25.4217, -26.990778, -26.990778, -26.296722, -25.4217, -22.392176, -22.392176, -21.106654, -21.106654, -21.741496, -21.741496, -21.023615, -21.023615, -18.952908, -18.952908, -17.847197]"
The Three Saints,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[-1.942572, -1.20192, -1.20192, -0.299092]"
The Boars,"[68.98015500000001, 67.165575, 67.165575, 64.948335, 64.948335, 65.73370499999999, 65.73370499999999, 67.154145, 67.154145, 68.3877, 68.3877, 68.98015500000001]","[16.509301, 15.870883, 15.870883, 15.627642, 15.627642, 17.542514, 17.542514, 19.180431, 19.180431, 18.016722, 18.016722, 16.509301]"
