name,ra,dec
Northern Dipper,"[165.93232500000002, 165.46015500000001, 165.46015500000001, 178.45752000000002, 178.45752000000002, 183.85629, 183.85629, 193.50708, 193.50708, 200.981205, 200.981205, 206.88531]","[61.751033, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617, 57.032617, 55.959821, 55.959821, 54.925362, 54.925362, 49.313265]"
North River,"[116.329155, 113.64951, 113.64951, 112.277925]","[28.026199, 31.888276, 31.888276, 31.78455]"
Northern Pole,"[230.182245, 222.676575, 222.676575, 216.88137, 216.88137, 212.21247, 212.21247, 192.30744]","[71.834016, 74.155505, 74.155505, 75.695993, 75.695993, 77.547514, 77.547514, 83.412901]"
North Gate of the Military Camp,"[344.41256999999996, 344.41256999999996]","[-29.622236, -29.622236]"
River Turtle,"[276.74341499999997, 282.21036, 282.21036, 285.77860499999997, 285.77860499999997, 287.08734, 287.08734, 287.50731, 287.50731, 287.368035, 287.368035, 286.60456500000004, 286.60456500000004, 284.680815, 284.680815, 284.16873, 284.16873, 278.34639, 278.34639, 278.375745, 278.375745, 276.74341499999997]","[-45.968459, -43.680047, -43.680047, -42.095105, -42.095105, -40.496703, -40.496703, -39.340796, -39.340796, -37.904474, -37.904474, -37.063437, -37.063437, -37.107357, -37.107357, -37.343241, -37.343241, -38.725985, -38.725985, -42.31251, -42.31251, -45.968459]"
Persia,"[298.157145, 309.39173999999997, 309.39173999999997, 322.25049, 322.25049, 329.479395, 329.479395, 330.10098, 330.10098, 311.00948999999997, 311.00948999999997, 312.875205]","[-54.971026, -47.291502, -47.291502, -53.705912, -53.705912, -54.992575, -54.992575, -55.883486, -55.883486, -51.920971, -51.920971, -51.608179]"
Textile Ruler,"[270.37669500000004, 272.18955]","[21.595782, 20.814557]"
Banner of Three Stars,"[73.133175, 74.092815, 74.092815, 73.695405, 73.695405, 73.72386, 73.72386, 72.65301, 72.65301, 72.460035, 72.460035, 72.80151000000001, 72.80151000000001, 73.562895, 73.562895, 74.63709]","[14.250642, 13.514466, 13.514466, 11.426006, 11.426006, 10.150833, 10.150833, 8.900176, 8.900176, 6.961276, 6.961276, 5.605104, 5.605104, 2.440672, 2.440672, 1.714016]"
Toilet,"[83.18256000000001, 82.06134, 82.06134, 86.115855, 86.115855, 87.830355]","[-17.822289, -20.759441, -20.759441, -22.448382, -22.448382, -20.879089]"
Whip,"[14.177145, 14.177145]","[60.71674, 60.71674]"
Royal Guards,"[194.007105, 191.24778, 191.24778, 189.692835, 189.692835, 188.43616500000002, 188.43616500000002, 186.4623, 186.4623, 184.031445, 184.031445, 180.52858500000002]","[38.31838, 39.278916, 39.278916, 40.874662, 40.874662, 41.35748, 41.35748, 39.018616, 39.018616, 40.66018, 40.66018, 43.0456]"
Big Yard for Chariots,"[343.008375, 340.128495, 340.128495, 335.25642, 335.25642, 323.49525, 323.49525, 314.95647, 314.95647, 316.23276000000004, 316.23276000000004, 324.23740499999997]","[43.312417, 44.276305, 44.276305, 46.536569, 46.536569, 45.591837, 45.591837, 47.520951, 47.520951, 43.927852, 43.927852, 40.413521]"
Chariots and Cavalry,"[228.0714, 219.47181, 219.47181, 218.15443499999998]","[-52.099247, -49.425828, -49.425828, -50.457157]"
Commodity Market,"[246.950775, 252.458445]","[-8.371731, -10.783]"
