name,ra,dec
Corvus,"[188.596815, 182.53119, 182.53119, 183.95155499999998, 183.95155499999998, 187.466085, 187.466085, 188.596815]","[-23.396759, -22.619766, -22.619766, -17.541929, -17.541929, -16.515432, -16.515432, -23.396759]"
Canis Minor,"[114.825495, 111.78768]","[5.224993, 8.289315]"
Canes Venatici,"[194.00202, 188.43616500000002]","[38.314912, 41.35748]"
Perseus,"[42.674175, 46.19913, 46.19913, 51.08067, 51.08067, 55.73124, 55.73124, 59.46345, 59.46345, 59.741249999999994, 59.741249999999994, 58.533, 58.533, 56.07972, 51.08067, 47.04222]","[55.895496, 53.50644, 53.50644, 49.86118, 49.86118, 47.787551, 47.787551, 40.010215, 40.010215, 35.791033, 35.791033, 31.883635, 31.883635, 32.288248, 49.86118, 40.955648]"
Cassiopeia,"[2.293305, 10.126740000000002, 10.126740000000002, 14.177145, 14.177145, 21.453239999999997, 21.453239999999997, 28.598760000000002]","[59.14978, 56.537331, 56.537331, 60.71674, 60.71674, 60.235283, 60.235283, 63.670101]"
Auriga,"[89.930265, 89.88223500000001, 89.88223500000001, 79.17225, 79.17225, 75.492225, 75.492225, 74.24840999999999, 81.57297, 89.930265]","[37.212585, 44.947433, 44.947433, 45.997991, 45.997991, 43.823308, 43.823308, 33.16609, 28.60745, 37.212585]"
Lepus,"[76.36527, 78.23292, 78.23292, 83.18256000000001, 83.18256000000001, 86.738925, 86.738925, 89.10123, 76.36527, 82.06134, 82.06134, 86.115855, 86.115855, 87.830355, 78.30783, 78.23292, 78.23292, 79.893855]","[-22.371032, -16.205468, -16.205468, -17.822289, -17.822289, -14.82195, -14.82195, -14.1677, -22.371032, -20.759441, -20.759441, -22.448382, -22.448382, -20.879089, -12.941291, -16.205468, -16.205468, -13.176788]"
Hercules,"[250.32169500000003, 250.72399499999997, 250.72399499999997, 258.76182, 258.76182, 255.07240499999997, 255.07240499999997, 250.32169500000003, 271.88562, 269.44116, 269.44116, 266.614785, 266.614785, 262.68462, 262.68462, 258.75796499999996, 258.75796499999996, 255.07240499999997, 269.06325000000004, 258.76182, 242.19243, 244.935165, 244.935165, 248.52575999999996, 248.52575999999996, 250.72399499999997, 258.661905, 247.55502, 247.55502, 250.32169500000003]","[31.602726, 38.922254, 38.922254, 36.809162, 36.809162, 30.926405, 30.926405, 31.602726, 28.762488, 29.24788, 29.24788, 27.720676, 27.720676, 26.110645, 26.110645, 24.839204, 24.839204, 30.926405, 37.250539, 36.809162, 44.934906, 46.313366, 46.313366, 42.437041, 42.437041, 38.922254, 14.390333, 21.489613, 21.489613, 31.602726]"
Pegasus,"[340.365495, 326.04649500000005, 326.04649500000005, 332.54994, 332.54994, 340.365495, 340.365495, 346.19022, 346.19022, 345.943515, 345.943515, 2.096865, 2.096865, 3.30897, 3.30897, 346.19022, 332.306835, 340.75056, 340.75056, 345.943515, 345.943515, 342.500775, 342.500775, 331.752705, 331.752705, 326.16137999999995]","[10.831364, 9.875011, 9.875011, 6.197865, 6.197865, 10.831364, 10.831364, 15.205264, 15.205264, 28.082789, 28.082789, 29.090432, 29.090432, 15.183596, 15.183596, 15.205264, 33.172337, 30.221245, 30.221245, 28.082789, 28.082789, 24.601579, 24.601579, 25.345112, 25.345112, 25.645036]"
Andromeda,"[2.096865, 9.83193, 9.83193, 17.43291, 17.43291, 30.97476, 17.43291, 14.188274999999999, 14.188274999999999, 12.45351]","[29.090432, 30.861024, 30.861024, 35.620558, 35.620558, 42.329725, 35.620558, 38.499345, 38.499345, 41.078911]"
