name,ra,dec
Heavenly Market West Wall,"[247.55502, 245.48007, 245.48007, 242.018865, 242.018865, 239.11323000000002, 239.11323000000002, 236.546895, 236.546895, 233.700615, 233.700615, 236.06697, 236.06697, 237.704025, 237.704025, 243.58641000000003, 243.58641000000003, 244.58036999999996, 244.58036999999996, 249.28974000000002]","[21.489613, 19.15313, 19.15313, 17.04698, 17.04698, 15.661617, 15.661617, 15.421826, 15.421826, 10.538867, 10.538867, 6.425627, 6.425627, 4.47773, 4.47773, -3.694323, -3.694323, -4.692511, -4.692511, -10.56709]"
Municipal Office,"[262.00974, 264.46130999999997, 264.46130999999997, 265.94592, 265.94592, 263.37435, 263.37435, 261.65784, 261.65784, 259.178115, 259.178115, 262.00974]","[-8.208374, -8.118771, -8.118771, -7.079608, -7.079608, -5.744803, -5.744803, -5.086596, -5.086596, -6.244975, -6.244975, -8.208374]"
Commodity Market,"[254.35833000000002, 252.458445]","[-10.963373, -10.783]"
Official for the Royal Clan,"[265.868145, 266.973165]","[4.567303, 2.707276]"
Official of Religious Ceremonies,"[271.363695, 270.16130999999996, 270.43833, 271.363695, 271.363695, 270.06582]","[2.500099, 2.931568, 1.305076, 2.500099, 2.500099, 4.368615]"
Patriarchal Clan,"[271.826505, 271.83744]","[8.733867, 9.563847]"
Textile Ruler,"[272.22027, 270.59604]","[20.045233, 20.833632]"
Butcher's Shops,"[272.18955, 270.37669500000004]","[20.814557, 21.595782]"
Astrologer,"[263.733615, 263.733615]","[12.560035, 12.560035]"
Emperor's Seat,"[258.661905, 258.661905]","[14.390333, 14.390333]"
Eunuch Official,"[253.842375, 255.78278999999998, 255.78278999999998, 255.991845, 255.991845, 256.34454]","[18.433213, 14.091947, 14.091947, 13.56742, 13.56742, 12.740828]"
Jewel Market,"[245.51812500000003, 247.72843500000002]","[1.029039, 1.983923]"
Dipper for Liquids,"[254.417085, 253.50196499999998, 253.50196499999998, 251.457885, 251.457885, 252.58075499999998, 252.58075499999998, 251.94340499999998]","[9.375033, 10.165359, 10.165359, 8.582616, 8.582616, 7.247683, 7.247683, 5.246746]"
Dipper for Solids,"[250.16119500000002, 251.373645, 251.373645, 259.13215499999995, 259.13215499999995, 261.628665]","[4.219789, 1.020161, 1.020161, 1.210545, 1.210545, 4.14036]"
Coiled Thong,"[237.80805, 233.23243499999998, 233.23243499999998, 231.95727, 231.95727, 233.67192, 233.67192, 235.68571500000002, 235.68571500000002, 237.39855, 237.39855, 239.39691000000002, 239.39691000000002, 240.360705, 240.360705, 240.26118, 240.26118, 237.80805]","[35.657382, 31.359133, 31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061, 29.851061, 33.303509, 33.303509, 35.657382]"
Seven Excellencies,"[257.38856999999996, 250.72399499999997, 250.72399499999997, 246.35070000000002, 246.35070000000002, 238.94826, 238.94826, 231.122715, 231.122715, 225.48654000000002, 225.48654000000002, 218.01954]","[40.777033, 38.922254, 38.922254, 37.394079, 37.394079, 37.946958, 37.946958, 37.377167, 37.377167, 40.390566, 40.390566, 38.308253]"
Celestial Discipline,"[268.325115, 269.06325000000004, 269.06325000000004, 261.692295, 261.692295, 260.1648, 260.1648, 255.401505, 255.401505, 255.07240499999997, 255.07240499999997, 250.32169500000003, 250.32169500000003, 245.58927, 245.58927, 245.52430499999997]","[40.007959, 37.250539, 37.250539, 34.695802, 34.695802, 32.467743, 32.467743, 33.56827, 33.56827, 30.926405, 30.926405, 31.602726, 31.602726, 33.799052, 33.799052, 30.891996]"
Woman's Bed,"[258.76182, 259.417755, 259.417755, 260.92062000000004]","[36.809162, 37.291498, 37.291498, 37.145946]"
Horn,"[201.298245, 203.6733]","[-11.161322, -0.59582]"
Flat Road,"[200.82873, 202.99119]","[-4.924427, -6.255816]"
Celestial Farmland (In Horn Mansion),"[205.76547, 203.53305]","[3.537903, 3.658967]"
Recommending Virtuous Men,"[197.48746500000001, 197.48746500000001]","[-5.53901, -5.53901]"
Tripod of the Zhou,"[207.42846, 205.25979, 205.25979, 205.168635]","[21.264105, 22.495768, 22.495768, 19.955719]"
Celestial Gate,"[203.01171000000002, 199.601445]","[-18.72888, -18.311196]"
Judging,"[204.2019, 199.730385]","[-26.495198, -23.171512]"
Arsenal,"[209.669805, 218.87679, 218.87679, 211.670925, 211.670925, 207.36136499999998, 207.36136499999998, 200.14944, 200.14944, 198.013515, 198.013515, 196.646145, 196.646145, 197.78707500000002, 197.78707500000002, 198.49047, 198.49047, 197.846835]","[-44.803584, -42.157824, -42.157824, -36.369954, -36.369954, -34.450776, -34.450776, -36.712295, -36.712295, -37.803022, -37.803022, -41.588443, -41.588443, -42.232891, -42.232891, -43.139107, -43.139107, -43.368553]"
Railings,"[207.37617, 207.404145, 209.56779, 211.51155, 211.51155, 207.37617]","[-41.687709, -42.473732, -42.100753, -41.179633, -41.179633, -41.687709]"
Southern Gate,"[196.7277, 204.97194000000002]","[-49.906246, -53.466394]"
Pillars (In Horn Mansion),"[220.482345, 219.47181, 219.47181, 217.587345]","[-47.3882, -49.425828, -49.425828, -49.519018]"
Pillars (In Horn Mansion),"[216.534285, 215.17738500000002, 215.17738500000002, 214.85094]","[-45.221424, -45.18706, -45.18706, -46.058093]"
Pillars (In Horn Mansion),"[210.43122, 208.885005, 208.885005, 207.94675500000002]","[-45.603421, -47.288375, -47.288375, -46.898666]"
Pillars (In Horn Mansion),"[215.75933999999998, 215.139345, 215.139345, 210.32943]","[-39.511819, -37.885295, -37.885295, -40.221943]"
Pillars (In Horn Mansion),"[202.761075, 201.532245, 201.532245, 201.73382999999998]","[-39.407307, -39.755107, -39.755107, -41.497562]"
Neck,"[213.22393499999998, 214.00362, 214.00362, 217.05057000000002, 213.22393499999998, 214.77747]","[-10.273702, -6.000547, -6.000547, -2.227957, -10.273702, -13.371095]"
Great Horn,"[213.91545, 213.91545]","[19.18241, 19.18241]"
Executions,"[218.71137, 216.37455, 216.37455, 214.659405, 214.659405, 213.850365, 213.850365, 212.71035, 212.71035, 211.112415, 211.112415, 206.12427000000002]","[-20.439381, -19.969985, -19.969985, -18.715968, -18.715968, -18.20069, -18.20069, -16.30203, -16.30203, -14.971708, -14.971708, -16.179072]"
Left Conductor,"[221.31025499999998, 220.18152, 220.18152, 220.2873]","[16.96428, 16.418324, 16.418324, 13.7283]"
Right Conductor,"[208.671165, 206.81565, 206.81565, 207.369345]","[18.397717, 17.456906, 17.456906, 15.797905]"
Trials,"[216.20262, 215.77413]","[-24.80631, -27.754017]"
Gate of Yang,"[213.191775, 211.592895]","[-27.261186, -26.682361]"
Root,"[222.719655, 228.05538, 228.05538, 233.881575, 233.881575, 229.251735]","[-16.041778, -19.79171, -19.79171, -14.789537, -14.789537, -9.382917]"
Celestial Milk,"[237.40503, 237.40503]","[-3.430208, -3.430208]"
Twinkling Indicator,"[214.49925000000002, 214.49925000000002]","[35.509505, 35.509505]"
Celestial Lance,"[221.24676, 218.67, 218.67, 217.9575]","[27.074222, 29.74513, 29.74513, 30.371437]"
Mattress of the Emperor,"[222.847395, 218.13561, 218.13561, 216.614025]","[19.10046, 22.260059, 22.260059, 19.2269]"
Boats and Lake,"[214.93849500000002, 214.36855500000001, 214.36855500000001, 213.64836, 213.64836, 213.52159500000002, 213.52159500000002, 213.71187, 213.71187, 214.81781999999998, 214.81781999999998, 214.93849500000002]","[16.306948, 15.26338, 15.26338, 13.975451, 13.975451, 12.959444, 12.959444, 10.10061, 10.10061, 13.004299, 13.004299, 16.306948]"
Battle Chariots,"[226.017585, 224.366475, 224.366475, 223.58388]","[-25.281965, -21.415475, -21.415475, -24.642202]"
Chariots and Cavalry,"[228.0714, 226.85811, 226.85811, 221.75541]","[-52.099247, -49.088612, -49.088612, -52.383518]"
Celestial Spokes,"[234.25605, 235.0704]","[-28.135079, -23.818078]"
Chariots and Cavalry General,"[227.98377000000002, 227.98377000000002]","[-48.737819, -48.737819]"
Imperial Guards,"[225.49201499999998, 223.65798, 223.65798, 220.91436000000002]","[-34.358875, -33.300575, -33.300575, -35.173655]"
Imperial Guards,"[228.65550000000002, 229.45767, 229.45767, 226.63833000000002]","[-31.519121, -30.148673, -30.148673, -30.918483]"
Imperial Guards,"[223.212825, 222.158535, 222.158535, 220.48998]","[-37.80316, -36.634697, -36.634697, -37.793498]"
Imperial Guards,"[230.4516, 230.788965, 230.788965, 231.825555]","[-36.261376, -36.858489, -36.858489, -36.76756]"
Imperial Guards,"[231.33427500000002, 230.343015, 230.343015, 233.785215]","[-38.73362, -40.647518, -40.647518, -41.166757]"
Imperial Guards,"[224.79037499999998, 224.63305499999998, 224.63305499999998, 222.909615]","[-42.104194, -43.13396, -43.13396, -43.575359]"
